t Vx Vy
0.03	1.55	1.67
0.07	1.48	1.36
0.10	1.51	1.00
0.13	1.54	0.62
0.17	1.51	0.25
0.20	1.52	-0.11
0.23	1.49	-0.46
0.27	1.39	-0.77
0.30	1.38	-1.06
0.33	1.41	-1.31
0.37	1.40	-1.61
0.40	1.44	-1.97
0.43	1.48	-2.22
0.47	1.46	-2.63
0.50	1.52	-3.05
0.53	1.62	-3.36
0.57	1.57	-3.67
0.60	1.50	-3.84
