R.I	WAP
	190.591
0.3863207547	189.538
0.349689441	187.346
0.497188755	186.358
0.4768094535	183.728
0.362590799	177.245
0.3107777778	173.867
0.6370235935	177.26
0.3126843658	172.49
0.5879535559	174.541
0.05915492958	172.288
0.7650289017	173.744
0.6465	176.766
0.5572649573	174.76
0.4528169014	171.282
0.5599571734	170.065
0.6007117438	173.608
0.4673684211	173.578
0.5287234043	174.954
0.4400696864	175.703
0.7102380952	177.903
