R.I	WAP
0.4015479876	170.077
0.7341288783	173.986
0.3466942149	173.969
0.5786729858	173.381
0.4002557545	174.285
0.2504702194	172.909
0.3247272727	172.543
0.5701030928	174.459
0.2714285714	172.844
0.6988479263	175.193
0.4506756757	176.354
0.3552325581	176.472
0.5980769231	177.886
0.4634920635	178.84
0.3455840456	175.473
0.4154320988	174.036
0.665480427	175.56
0.3257142857	175.672
0.3197260274	173.527
0.6610271903	175.118
0.6860033727	180.328
